PT	DT	AU	AA	ED	CA	SP	PN	AE	TI	FT	SO	LA	LS	U1	U2	AB	C1	RI	OI	PA	SC	PI	SS	ID	CN	PY	VL	IS	BP	EP	SN	BN	NR	PG	DI	OA	HC	HP	DA	UT
J		Anderson, F.; Payne, C.; Pannier, L.; Pethick, D. W.; Gardner, G. E.							The potential for dual energy X-ray absorptiometry to predict lamb eating quality.		Meat Science					Data were obtained from 120 lambs which were slaughtered, scanned using dual energy X-ray absorptiometry (DEXA) and underwent eating quality assessment. DEXA images were used to determine R values, reflecting atomic mass, to predict carcass lean%. Additionally, bone regions (humerus, lumbar, femur and "all carcass bone") were isolated from images to determine bone specific R values (DEXA R Mean and SDev). Prediction of overall liking of cuts across the carcass (scored between 0 and 100) using lean% and bone DEXA was variable. Loin grill overall liking demonstrated significant associations with lumbar DEXA R Mean and SDev, decreasing by 8.6 and 7.6 units across the increasing range of these bone DEXA measures. This association is somewhat independent of carcass lean% and intramuscular fat% of the loin. Given the association of DEXA with eating quality, there are potential benefits for the lamb industry with respect to carcass sorting and marketing during routine processing and DEXA scanning. All rights reserved, Elsevier.			Gardner, Graham/0000-0001-7499-9986							2021	181				0309-1740				10.1016/j.meatsci.2021.108434					FSTA:2021-11-Sl6670
J		Anderson, N. T.; Walsh, K. B.; Flynn, J. R.; Walsh, J. P.							Achieving robustness across season, location and cultivar for a NIRS model for intact mango fruit dry matter content. II. Local PLS and nonlinear models.		Postharvest Biology and Technology					A range of modelling techniques were used in the estimation of dry matter content of intact mango fruit from short wave near infrared spectra, collected using an interactance geometry, with models developed on a data set collected across three seasons (n=10,243) and tested on that of a fourth season (n=1,448). Model types included Artificial Neural Network (ANN), Gaussian Process Regression (GPR), Local Optimized by Variance Regression (LOVR), Local Partial Least Squares Regression (LPLS), Local PLS Scores (LPLS-S) and Memory Based Learner (MBL), with manual tuning of parameters undertaken. Additionally, two commercially available cloud-based chemometric packages for automated model development were trialled. All of these models gave a better result than use of a global PLS model. The best result (lowest RMSEP) was achieved with an ensemble of ANN, GPR and LPLS-S, with the best individual model result achieved by LOVR, with RMSEP of 0.839% and 0.881%, respectively, compared to the global PLS result of 1.014%. The best precision was achieved with the LPLS model, with a SEP of 0.846%, compared to the global PLS result of 1.012%. LOVR was twice as fast as a generalized latent variable selection method LPLS-S-cv in prediction of independent validation set (at 58.7*10-3 s compared to 163*10-3 s). The ANN model was satisfactory in all categories (prediction speed, model build speed, and prediction statistics) and insensitive to tuning, e.g., 33 of the 70 parameter combinations were within 0.05 units of RMSEP of the minimum combination. However, the ANN learning rate was low. For applications that require "real-time" prediction, such as fruit packlines, use of ANN and GPR models is recommended. For non-cloud based handheld NIR devices lacking the computational power to perform local modelling, ANN is recommended, and LOVR or a model ensemble recommended in cloud based implementation. The automated cloud-based systems performed well (RMSEP of 0.850% and 0.963% for Hone Create and DataRobot, ensemble models, respectively), without human intervention for the choosing and tuning of models. All rights reserved, Elsevier.			Walsh, Jeremy/0000-0002-4360-3536							2021	171				0925-5214				10.1016/j.postharvbio.2020.111358					FSTA:2021-03-Jd3057
J		Anderson, S.; Gonzalez, L. A.; Jasbi, P.; Johnston, C. S.							Evidence that daily vinegar ingestion may contribute to erosive tooth wear in adults.		Journal of Medicinal Food					Vinegar ingestion at mealtime is gaining popularity for its antiglycemic effects; however, it is among the most acidic consumable substances. This study examined tooth wear in healthy adults participating in an 8-week randomized trial examining the effect of daily vinegar ingestion on insulin sensitivity and visceral fat reduction. Twice daily participants consumed a vinegar drink (two tablespoons vinegar in a cup of water; 3.6g acetic acid) or a commercial vinegar pill (control, 0.045g acetic acid) at mealtime. Participants were screened for dental erosion using the basic erosive wear examination (BEWE) by a blinded registered dental hygienist at trial baseline and week 8. Mean BEWE scores did not change in the control group but increased 18% in the vinegar group over the 8-week study (P=.038). Given the current popularity of vinegar as a medicinal agent, practitioners should caution patients who utilize this strategy on the possibility of erosive tooth wear. Trial registration. This trial was registered at ClinicalTrials.gov (NCT03577834) on July 5,2018 and the institutional review board at Arizona State University provided ethical approval (STUDY00005418).										2021	24	8	894	896	1096-620X				10.1089/jmf.2020.0108					FSTA:2022-02-Tc0663
J		Anderssen, K. E.; Syed, S.; Stormo, S. K.							Quantification and mapping of tissue damage from freezing in cod by magnetic resonance imaging.		Food Control					Freezing of fish is an important processing method that can extend the shelf life of the product but can also lead to significant damage to the tissue if performed incorrectly. In order to thoroughly evaluate different freezing protocols, a method to characterize the extent and distribution of damage from freezing is needed. Magnetic resonance imaging (MRI) was tested as a technique to map and quantify tissue damage from freezing in fish. Groups of packaged cod (Gadus morhua) loin were frozen to either -5, -20, or -40 °C, thawed and then imaged with a T2-weighted MRI sequence. Areas of damage appear as bright clusters in the muscle tissue. To provide repeatable, objective classification, image analysis using a convolutional neural network was then performed on the MRI data to identify regions of damaged tissue. As expected, the colder the freezing procedure, the less damage the process generally produced. Results. Show non-uniform damage throughout the fillet, with tissue damage due to freezing concentrated in the center of the fillet. This suggests that surface limited methods, such as hyperspectral imaging, may not fully capture the extent of damage due to freezing and thawing. The percent of tissue classified as damaged by the neural network generally correlated well with liquid loss (cor=0.83). All rights reserved, Elsevier.			Syed, Shaheen/0000-0001-5462-874X							2021	123				0956-7135				10.1016/j.foodcont.2020.107734					FSTA:2021-06-Rc2036
J		Andersson, I. M.; Bergenstahl, B.; Millqvist-fureby, A.; Alexander, M.; Paulsson, M.; Glantz, M.							Particle morphology and rehydration properties of spray-dried microgels and fractal aggregates with varying fractions of native milk serum proteins.		International Dairy Journal					To keep their functional properties, it is crucial that protein aggregates maintain their structure after spray drying and that the powders can be fully rehydrated. In this study, microgels and fractal aggregates were prepared by heating a mixture of milk serum protein concentrate and lactose (40/60; %, w/w) at 85 °C for 15 min by varying the pH. Various fractions of native proteins were added to the systems prior to spray drying. This study showed that microgels and fractal aggregates kept their structure after spray drying and reconstitution. The particle morphology could be correlated to the stiffness of the interface of the feed droplet. The forced imbibition rate showed a negative correlation with increasing amount of aggregated proteins in the powders that seems to be a result of denatured/aggregated proteins present at the surface. These findings are of importance for the formulation of spray-dried powders with improved rehydration characteristics. All rights reserved, Elsevier.		Bergenstahl, Bjorn A/B-4663-2016	Glantz, Maria/0000-0002-7570-9220; Millqvist Fureby, Anna/0000-0001-9891-8968							2021	112				0958-6946				10.1016/j.idairyj.2020.104862					FSTA:2021-03-Pn1643
J		Andini, S.; Araya-Cloutier, C.; Lay, B.; Vreeke, G.; Hageman, J.; Vincken, J. P.							QSAR-based physicochemical properties of isothiocyanate antimicrobials against gram-negative and gram-positive bacteria.		LWT -- Food Science and Technology					Isothiocyanates (ITCs) derived from Brassicaceae are potential food preservatives. Their antimicrobial activity is strongly influenced by their subclass and side chain. This is the first quantitative structure-activity relationships (QSAR) study of ITCs as antibacterials. Twenty-six ITCs covering 9 subclasses were tested against Escherichia coli and Bacillus cereus. Minimum inhibitory concentration (MIC) and growth inhibitory response (GIR) were determined and used to develop QSAR models. MIC of the most active ITCs was 6.3-9.4 mug/mL. The QSAR models were validated with leave-one-out cross validation. The proposed models had a good fit (R2adj 0.86-0.93) and high internal predictive power (Q2adj 0.80-0.89). Partial charge, polarity, reactivity, and shape of ITCs were key physicochemical properties underlying antibacterial activity of ITCs. Furthermore, ITC compositions and antibacterial activity of Sinapis alba, Brassica napus, B. juncea, B. oleracea, and Camelina sativa extracts were determined, after myrosinase treatment. B. oleracea ITC-rich extract showed promising activity (MIC 750-1000 mug/mL) against both bacteria. C. sativa ITC-rich extract showed promising activity (MIC 188 mug/mL) against B. cereus. The QSAR models successfully predicted activity of the extracts based on ITC compositions. The models are useful to predict antibacterial activity of new ITCs and ITC-rich mixtures. Brassicaceae ITC-rich extracts are promising natural food preservatives. All rights reserved, Elsevier.		Hageman, Jos/N-1221-2015	Hageman, Jos/0000-0002-5868-587X; Vreeke, Gijs/0000-0002-8088-500X							2021	144				0023-6438				10.1016/j.lwt.2021.111222					FSTA:2021-08-Jq10756
J		Andlinger, D. J.; Bornkebel, A. C.; Jung, I.; Schroeter, B.; Smirnova, I.; Kulozik, U.							Microstructures of potato protein hydrogels and aerogels produced by thermal crosslinking and supercritical drying.		Food Hydrocolloids					Aerogels are highly porous structur′es created from hydrogels by solvent exchange and supercritical CO2 drying. They can be produced from proteins and used for encapsulation of active ingredients. In this work, the structural relationship between various protein based hydrogels and aerogels was investigated. We compare egg white protein (EWP) and patatin rich potato protein isolates (PPI) in terms of gel and aerogel production thereof. Thereby, aerogels were produced for the first time from patatin-rich potato protein isolates. Both protein sources can form strong hydrogels, but they differ in their molecular properties, especially regarding the presence of reactive groups available for covalent crosslinking. Therefore, we studied the rheological profiles of hydrogels of both protein groups and applied the ratio of elastic modulus at gel formation temperature (G′hot) and after cooling to ambient temperature (G′cool) as criterion for comparing gel formation capacities produced from structurally different proteins. The ratio G′cool/G′hot was also identified as an indicator of the relation of non-covalent bonds to covalent and/or hydrophobic interactions and for characterizing aerogel structural properties. PPI hydrogels were found to be dominated by hydrophobic interactions, while covalent disulfide bonds determine EWP hydrogel stabilization. Nevertheless, PPI and EWP hydrogel and aerogels showed similar stabilities. More than the protein source, the pH during hydrogel formation was found to decisively influence the protein interaction potential and gel/aerogel characteristics. Irrespective of the protein source low pH led to brittle aerogels with high specific surface areas and low G'cool/G′hot ratios. At a pH close to the isoelectric point (IEP) brittle gels with low specific surface areas and high G′cool/G′hot ratios were measured. At alkaline pH gels were most stable, the specific surface area and G′cool/G′hot ratios were intermediate. Overall, the results help to control the structural properties of gels and aerogels towards potential applications in food systems. All rights reserved, Elsevier.			Andlinger, David/0000-0002-3255-9971; Schroeter, Baldur/0000-0002-2577-055X							2021	112				0268-005X				10.1016/j.foodhyd.2020.106305					FSTA:2021-04-Jl5212
J		Andlinger, D. J.; Roscheisen, P.; Hengst, C.; Kulozik, U.							Influence of pH, temperature and protease inhibitors on kinetics and mechanism of thermally induced aggregation of potato proteins.		Foods					Understanding aggregation in food protein systems is essential to control processes ranging from the stabilization of colloidal dispersions to the formation of macroscopic gels. Patatin rich potato protein isolates (PPI) have promising techno-functionality as alternatives to established proteins from egg white or milk. In this work, the influence of pH and temperature on the kinetics of PPI denaturation and aggregation was investigated as an option for targeted functionalization. At a slightly acidic pH, rates of denaturation and aggregation of the globular patatin in PPI were fast. These aggregates were shown to possess a low amount of disulfide bonds and a high amount of exposed hydrophobic amino acids (S). Gradually increasing the pH slowed down the rate of denaturation and aggregation and alkaline pH levels led to an increased formation of disulfide bonds within these aggregates, whereas S was reduced. Aggregation below denaturation temperature (Td) favored aggregation driven by disulfide bridge formation. Aggregation above Td led to fast unfolding, and initial aggregation was less determined by disulfide bridge formation. Inter-molecular disulfide formation occurred during extended heating times. Blocking different protein interactions revealed that the formation of disulfide bond linked aggregation is preceded by the formation of non-covalent bonds. Overall, the results help to control the kinetics, morphology, and interactions of potato protein aggregation for potential applications in food systems. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.		; Kulozik, Ulrich/H-9061-2013	Andlinger, David/0000-0002-3255-9971; Kulozik, Ulrich/0000-0001-9598-9242							2021	10	4			2304-8158				10.3390/foods10040796					FSTA:2021-10-Gg5829
J		Ando, H.; Imaizumi, T.							Changes in electrical properties and void distribution of mung bean sprouts during hot water heating.		Food Science and Technology Research					We investigated the relationships between electrical properties and tissue structures, including the cell membrane, and the voids of fresh and heated bean sprouts. The electrical properties, which were obtained by electrical impedance spectroscopy and equivalent circuit analysis, changed drastically within 60 s by heating at 70 °C. Confocal laser-scanning microscopy suggested that these changes are due to cell membrane damage. We also visualized void distribution using micro X-ray computed tomography imaging and the calculated porosity. The porosity decreased from 6.71% to less than 1% after 30 s of heating. The fresh samples showed several axially elongated voids with low sphericity (< 0.3) and high volume (> 105 m3), which then disappeared preferentially with heating. Moreover, extracellular resistance was highly correlated with porosity (R = 0.900). We suggest that the contribution of cell membrane and void conditions to the texture of bean sprouts for short heating times needs to be considered.										2021	27	2	311	318	1344-6606				10.3136/fstr.27.311					FSTA:2021-10-Jp13535
J		Andrade, A. B. de; Cruz, M. L. da; Oliveira, F. A. de S.; Soares, S. E.; Druzian, J. I.; Santana, L. R. R. de; Souza, C. O. de; Bispo, E. da S.							Influence of under-fermented cocoa mass in chocolate production: sensory acceptance and volatile profile characterization during the processing.		LWT -- Food Science and Technology					Under-fermented cocoa mass (UCM) presents, as well as the fresh cocoa seed, a high content of phenolics compounds. For this reason, a chocolate with UCM added to the fermented cocoa mass (FCM) was developed. The sensory quality of chocolate is broadly determined by the composition of volatile compounds resulted from microbial metabolism during fermentation and Maillard reactions, that occur during drying, roasting, and conching. The aim of this work was to investigate the effect of adding UCM (20%-80%) to the FCM on the sensory characteristics of the chocolates produced and their volatile profiles during the process chain. The UCM and FCM were obtained through fermentation (48 h and 144 h, respectively), drying, roasting, and grinding processes. In general, the chocolate samples with a higher content of UCM presented lower scores for flavor acceptance, due to their higher bitterness and astringency. The great acceptance was observed on samples with 80% and 65% of FCM. A total of 55 different volatile compounds were identified by HS-SPME-GC-MS. The PCA analyses showed that the profile of the volatile compounds in the chocolate samples was influenced by the fermentation process, as well as the chocolate quality (flowery, honey, fruit, roasted, and chocolate flavors). All rights reserved, Elsevier.										2021	149				0023-6438				10.1016/j.lwt.2021.112048					FSTA:2021-11-Ka0866
